CODUL DE CLASIFICARE|DENUMIREA ACTIVELOR FIXE|DURATE NORMALE  DE FUNCȚIONARE  - ANI -
1.3.10.1.|- File din lemn.|12-18
1.3.10.2.|- File din beton, beton armat.|32-48
1.3.11.|Canale pentru navigație.|40-60
1.3.12.|Construcții accesorii pentru transport rutier, aerian, naval|24-36
1.3.13.|Linii de funiculare pentru exploatări miniere și industriale:|
1.3.13.1.|- pe stâlpi din lemn.|12-18
1.3.13.2.|- pe stâlpi din metal sau beton armat.|24-36
1.3.14.|Linii funiculare pentru personal; stații și construcții de protecție:|
1.3.14.1.|- cu telecabine, telegondole sau teleschiuri.|20-30
1.3.14.2.|- multilifturi pentru schi.|9-15
1.3.15.|Linii funiculare forestiere de tip ușor.|4-6
1.3.16.|Planuri înclinate supraterane.|24-36
1.3.17.|Poduri, podețe, pasarele și viaducte pentru transporturi feroviare și rutiere; viaducte:|
1.3.17.1.|- din lemn.|8-12
1.3.17.2.|- din zidărie, beton armat sau metal.|32-48
1.3.18.|Tunele.|40-60
1.3.19.|Clădiri pentru poștă, telecomunicații: centrale telefonice, stații de emisie radio, studiouri pentru radio, televiziune, etc.|36-54
1.3.20.|Linii și cabluri aeriene de telecomunicații (stâlpi, circuite, cabluri, traverse, console, etc).|9-15
1.3.21.|Rețele și canalizații subterane de comunicații urbane și interurbane, în afară de:|16-24
1.3.21.1.|- Suport de transmisiuni de telecomunicații pe sisteme de cabluri cu fibră optică (submarine, subfluviale).|8-12
1.3.22.|Platforme, turnuri și piloni metalici pentru antene de radiotelefonie, telefonie mobilă, radio și TV.|9-15
1.3.23.|Cabine telefonice.|4-6
1.3.24.|Construcții ușoare pentru transporturi și telecomunicații (barăci, magazii, șoproane, cabane).|8-12
1.3.25.|Alte construcții pentru transporturi, poștă și telecomunicații neregăsite în cadrul subgrupei 1.3.|20-30
1.4.|Construcții hidrotehnice|
1.4.1.|Baraje și construcții accesorii baraje (ecluze, deversoare, porturi și fronturi de așteptare, disipatoare de energie, goliri de fund, canale de derivație).|40-60
1.4.2.|Diguri (de apărare; de compartimentare; de dirijare a curenților), consolidări de maluri, praguri; pinteni; anrocamente și căsoaie; cleonaje:|
1.4.2.1.|- din fascine; lemn cu bolovan sau piatră;|16-24
1.4.2.2.|- din piatră brută; blocuri de beton; zidărie de piatră; beton armat.|24-36
1.4.3.|Canale de aducțiune.|40-60
1.4.4.|Pereuri.|24-36
1.4.5.|Construcții hidrotehnice, hidrometrice, hidrometeorologice, oceanografice, platforme meteorologice; în afară.|32-48
1.4.5.1.|- construcții ușoare.|8-12
1.4.6.|Lacuri artificiale de acumulare|40-60
1.4.7.|Alte construcții hidrotehnice neregăsite în cadrul subgrupei 1.4.|24-36
1.5.|Construcții pentru afaceri, comerț, depozitare.|
1.5.1.|Centre de afaceri.|40-60
1.5.2.|Clădiri comerciale pentru depozitare-comercializare și distribuție. Magazine.|32-48
1.5.3.|Construcții pentru depozitarea mărfurilor de larg consum, a mărfurilor industriale, a materialelor de construcții și a produselor agricole.|24-36
1.5.4.|Construcții pentru depozitarea și comercializarea produselor petrolifere (benzinării, etc).|20-30
1.5.5.|Construcții pentru depozitarea explozibililor, carburanților  și lubrifianților.|20-30
1.5.6.|Silozuri pentru agregate minerale, minereuri, cărbuni, materiale pulverulente (ciment, var, ipsos), etc.|20-30
1.5.7.|Rezervoare și bazine pentru depozitare, în afară de:|20-30
1.5.7.1.|- rezervoare pentru depozitare cu protecție catodică|32-48
1.5.8.|Depozite frigorifice pentru alimente. Ghețării.|20-30
1.5.9.|Platforme pentru depozitare și activități comerciale.|20-30
1.5.10.|Tancuri, rezervoare, bidoane și butoaie pentru depozitarea băuturilor.|24-36
1.5.11.|Rampe de încărcare.|20-30
1.5.12.|Construcții ușoare pentru afaceri, comerț, depozitare (barăci, magazii, șoproane, etc.).|8-12
1.5.13.|Camere de tezaur pentru depozitarea valorilor și datelor.|20-30
1.5.14.|Alte construcții pentru afaceri, comerț, depozitare neregăsite în cadrul subgrupei 1.5.|16-24
1.6.|Construcții de locuințe și social-culturale.|
1.6.1.|Clădiri de locuit, hoteluri și cămine, în afară de:|40-60
1.6.1.1.|- clădiri pentru locuințe sociale, moteluri și cămine amplasate în centre industriale. WC publice.|32-48
1.6.2.|Construcții pentru învățământ; știință; cultură și artă; ocrotirea sănătății; asistență socială; cultură fizică și agrement, în afară de:|40-60
1.6.2.1.|- case de sănătate, băi publice și baze de tratament.|28-42
1.6.3.|Împrejmuiri din:|
1.6.3.1.|- lemn;|8-12
1.6.3.2.|- zidărie, beton armat, metal.|20-30
1.6.4.|Clădiri administrative.|40-60
1.6.5.|Construcții pentru centrale termice și puncte termice|24-36
1.6.6.|Construcții suport pentru panouri de afișare și publicitate.|6-10
1.6.7.|Construcții pentru turnuri de ceas, turnuri de pază și alte amenajări asemănătoare.|9-15
1.6.8.|Alte construcții de locuințe și social-culturale neregăsite în cadrul subgrupei 1.6.|20-30
1.7.|Construcții pentru transportul energiei electrice.|
1.7.1.|Rețele de alimentare, de iluminat și linii de transport a energiei electrice:|
1.7.1.1.|- aeriene pe stâlpi din lemn.|9-15
1.7.1.2.|- aeriene pe stâlpi metalici sau din beton armat.|32-48
1.7.1.3.|- subterane.|12-18
1.7.2.|Instalații electrice de forță:|
1.7.2.1.|- aeriene sau aparente.|9-15
1.7.2.2.|- îngropate.|9-15
1.7.2.3.|- în tub, canal sau tunel de protecție.|24-36
1.7.3.|Alte construcții pentru transportul energiei electrice neregăsite în cadrul subgrupei 1.7.|16-24
1.8.|Construcții pentru alimentare cu apă, canalizare și îmbunătățiri funciare.|
1.8.1.|Puțuri săpate sau forate.|24-36
1.8.2.|Drenuri pentru alimentări cu apă.|24-36
1.8.3.|Captări și prize de apă.|32-48
1.8.4.|Canale pentru alimentare cu apă și evacuarea apelor.|32-48
1.8.5.|Galerii pentru alimentare cu apă și evacuarea apelor.|32-48
1.8.6.|Conducte pentru alimentare cu apă, inclusiv traversările; rețele de distribuție. Galerii subterane pentru instalații tehnico-edilitare.|24-36
1.8.7.|Conducte pentru canalizare, în afară de:|32-48
1.8.7.1.|- conducte tehnologice pentru ape acide.|12-18
1.8.8.|Stații de tratare, de neutralizare și de epurare a apelor.|24-36
1.8.9.|Castele de apă.|32-48
1.8.10.|Iazuri de depozitare; paturi de uscare a nămolului; câmpuri de irigare și infiltrare, în afară de:|16-24
1.8.10.1.|- canale de irigații.|24-36
1.8.11.|Rezervoare din beton armat pentru înmagazinarea apei.|40-60
1.8.12.|Stații de pompare și separare a apei, în afară de:|32-48
1.8.12.1.|- stații de pompare plutitoare|16-24
1.8.13.|Construcții și instalații tehnologice pentru alimentare cu apă și canalizare.|32-48
1.8.14.|Construcții ușoare (barăci, magazii, șoproane, etc).|8-12
1.8.15.|Alte construcții pentru alimentare cu apă, canalizare și îmbunătățiri funciare neregăsite în cadrul subgrupei 1.8.|24-36
1.9.|Construcții pentru transportul și distribuția petrolului, gazelor, lichidelor industriale, aerului comprimat și pentru termoficare.|
1.9.1.|Conducte magistrale pentru transportul produselor petrolifere, gazelor și a lichidelor industriale, inclusiv traversările și instalațiile tehnologice, în afară de:|20-30
1.9.1.1.|- conducte magistrale pentru transportul produselor petroliere prevăzute cu protecție catodică.|40-60
1.9.2.|Conducte de termoficare.|
1.9.2.1.|- aeriene sau în canale de protecție vizitatele.|20-30
1.9.2.2.|- în canale nevizitabile.|16-24
1.9.3.|Conducte, branșamente și instalații tehnologice pentru distribuția gazelor, produselor petroliere și a lichidelor industriale, apă sărată, din exteriorul și interiorul construcțiilor.|12-18
1.9.4.|Alte construcții pentru transportul și distribuția petrolului, gazelor, lichidelor industriale, aerului comprimat și pentru termoficare, neregăsite în cadrul subgrupei 1.9.|16-24
1.10.|Alte construcții neregăsite în cadrul grupei 1.|24-36
2.|GRUPA 2 INSTALAȚII TEHNICE, MIJLOACE DE TRANSPORT, ANIMALE ȘI PLANTAȚII|
2.1. ECHIPAMENTE TEHNOLOGICE (MAȘINI, UTILAJE ȘI INSTALAȚII DE LUCRU)|2.1. ECHIPAMENTE TEHNOLOGICE (MAȘINI, UTILAJE ȘI INSTALAȚII DE LUCRU)|2.1. ECHIPAMENTE TEHNOLOGICE (MAȘINI, UTILAJE ȘI INSTALAȚII DE LUCRU)
2.1.1.|Extracția și prepararea cărbunilor și minereurilor metalifere și nemetalifere|
2.1.1.1.|Mașini, utilaje și instalații pentru construcția puțurilor miniere și forare minieră. Mașini de havat, combine miniere și pluguri de cărbune. Mașini multifuncționale pe șenile.|5-9
2.1.1.2.|Mașini, utilaje și instalații pentru susținerea abatajelor și pentru tăiere-prelucrare.|3-5
2.1.1.3.|Mașini de încărcat și utilaje pentru rambleiere.|4-8
2.1.1.4.|Excavatoare cu rotor și instalații de haldat. Mașini, utilaje și instalații de sfărâmare și măcinare.|8-12
2.1.1.5.|Mașini, utilaje și instalații pentru clasare; pentru separare și concentrare (gravimetrică, magnetică, electrostatică). Mașini, utilaje și instalații pentru flotație.|6-10
2.1.1.6.|Mașini, utilaje și instalații pentru extragerea și prepararea metalelor prețioase. Mașini de tabletat și brichetat sare. Mașini și utilaje pentru brichetarea cărbunilor|8-12
2.1.1.7.|Mașini de ascuțit sfredele și mașini de curățat vagonete.|4-8
2.1.1.8.|Alte echipamente tehnologice neregăsite în cadrul clasei 2.1.1.|4-6
2.1.2.|Prospecțiuni geologice și geofizice, foraj și extracția țițeiului și gazelor|
2.1.2.1.|Sondeze|7-11
2.1.2.2.|Utilaje și instalații pentru forajul sondelor de țiței și gaze|5-9
2.1.2.3.|Trepiede, turle metalice, geamblacuri, macarale, trolii și mese rotative. Agregate de cimentare și fisurare. Mașini, utilaje și instalații pentru extracția țițeiului și gazelor.|8-12
2.1.2.4.|Mașini, utilaje și instalații pentru carotaj, deviații și perforări|4-8
2.1.2.5.|Alte echipamente tehnologice neregăsite în cadrul clasei 2.1.2.|6-10
2.1.3.|Mașini, utilaje și instalații pentru metalurgia feroasă, inclusiv laminarea și trefilarea metalelor.|
2.1.3.1.|Mașini, utilaje și instalații pentru producția de cocs metalurgic; pentru producția fontei de primă fuziune și a feroaliajelor. Mașini, utilaje și instalații pentru producția electrozilor de sudură. Mașini, utilaje și instalații pentru acoperirea și protecția suprafeței laminatelor, țevilor și trefilatelor.|11-17
2.1.3.2.|Mașini, utilaje și instalații pentru producția de oțel.|12-18
2.1.3.3.|Mașini, utilaje și instalații pentru producția de laminate. Mașini, utilaje și instalații pentru producția barelor, sârmelor și țevilor trase. Mașini, utilaje și instalații pentru producția de țevi sudate.|9-15
2.1.3.4.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.3.|9-15
2.1.4.|Mașini, utilaje și instalații pentru metalurgia neferoasă|
2.1.4.1.|Mașini și instalații pentru reducere, topire, distilare și turnare. Cuptoare pentru prerafinare; mașini și instalații pentru convertizoare și rafinare.|11-17
2.1.4.2.|Mașini și instalații pentru prelucrarea produselor, subproduselor și deșeurilor din metalurgia neferoasă.|9-15
2.1.4.3.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.4.|9-15
2.1.5.|Mașini, utilaje și instalații pentru construcții de mașini și prelucrarea metalului|
2.1.5.1.|Mașini de alezat și frezat orizontale. Mașini de rabotat cu masă mobilă. Ciocane de forjă. Prese de forjă; prese speciale și specializate; mașini de forjat; mașini de rulat, îndoit și debitat tablă, profile și țevi; mașini auxiliare speciale pentru forjă. Mașini și instalații de încălzire pentru forjă. Mașini, utilaje și instalații pentru dezbaterea și curățirea pieselor turnate. Mașini, utilaje și instalații pentru tratamente termice. Mașini, utilaje și instalații specifice pentru producția de cabluri și conductoare. Mașini, utilaje și instalații specifice pentru producția de materiale electroizolante și de pulberi. Mașini, utilaje și instalații specializate de confecționat produse din sârmă (cuie, ace, ținte, etc). Mașini, utilaje și instalații specializate de confecționat produse din tablă subțire (jucării, ambalaje, etc,). Mașini, utilaje și instalații specializate de confecționat autovehicule, tractoare, locomotive, vagoane. Mașini specializate pentru confecționat nituri, șuruburi, tirfoane, piulițe și caiele. Mașini, utilaje și instalații specializate pentru construcția de nave, în afară de:|9-15
2.1.5.1.1.|Linii automate de formare-turnare.|12-18
2.1.5.2.|Strunguri: - paralele; - frontale și carusel; - revolver, automate și semiautomate; - specializate. Mașini de alezat. Mașini de frezat. Mașini de rabotat cu cuțit mobil (șepinguri) și de mortezat, de prelucrat roți dințate, de filetat, etc. polizoare fixe. Mașini de găurit, mașini de debitat metale. Mașini agregat; linii automate și semiautomate; centre de prelucrare a metalului prin așchiere. Mașini de formare, miezuire și formare de precizie și cu modele ușor fuzibile; mașini de turnat; uscătoare pentru forme și miezuri; mașini, utilaje și instalații pentru elaborarea metalelor și aliajelor. Mașini, utilaje și instalații pentru vopsire și acoperiri metalice. Mașini, utilaje și instalații comune pentru industria electrotehnică. Mașini, utilaje și instalații specifice pentru producția de transformatoare. Mașini, utilaje și instalații specifice pentru producția de mașini electrice rotative. Mașini, utilaje și instalații specifice pentru producția de aparataj de înaltă și joasă tensiune, de aparate electrice, telefonice și de măsurare. Mașini, utilaje și instalații specifice pentru fabricația de produse electrochimice și surse de iluminat. Mașini, utilaje și instalații specifice pentru prelucrarea metalului prin procedee speciale (ultrasunete, etc). Mașini, utilaje și instalații specializate pentru construcții aeronautice. Mașini specializate pentru confecționat armături și fitinguri.|8-12
2.1.5.3.|Mașini specializate pentru confecționat arcuri.|9-15
2.1.5.4.|Mașini, utilaje și instalații specializate pentru confecționarea ceasurilor.|6-10
2.1.5.5.|Mașini, utilaje și instalații pentru sudarea metalului.|6-10
2.1.5.6.|Mașini, utilaje și instalații specifice pentru producția componentelor produselor și sistemelor electronice (semiconductoare, circuite imprimate, aparate audio și video, aparate și instrumente electronice de măsurare, calculatoare și periferice, etc).|5-9
2.1.5.7.|Mașini portabile de polizat, șlefuit, tăiat, găurit, etc.|2-4
2.1.5.8.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.5.|8-12
2.1.6.|Mașini, utilaje și instalații pentru industria chimică și petrochimică|
2.1.6.1.|Mașini, utilaje și instalații de uz general în tehnologia chimică.|
2.1.6.1.1.|Decantoare; Separatoare, vase florentine, hidrocicloane filtre și centrifuge; Mașini, utilaje și instalații pentru procese de distilare și rectificare a lichidelor; Mașini, utilaje și instalații pentru procese de încălzire, răcire și condensare; Mașini, utilaje și instalații pentru evaporare, uscare și cristalizare:|
|a) mediu neutru sau ușor coroziv;|9-15
|b) mediu puternic coroziv|6-10
2.1.6.1.2.|Mașini, utilaje și instalații pentru procese de separare a sistemelor gazoase; Mașini, utilaje și instalații pentru procese de absorbție și extracție; Mașini, utilaje și instalații pentru reacții chimice și electrochimice:|
|a) mediu neutru sau ușor coroziv;|8-12
|b) mediu puternic coroziv.|5-9
2.1.6.2.|Mașini, utilaje și instalații specifice industriei chimice anorganice.|
2.1.6.2.1.|Mașini, utilaje și instalații specifice pentru producerea acidului sulfuric și a îngrășămintelor fosfatice, a amoniacului, acidului azotic și a îngrășămintelor azotoase. Mașini, utilaje și instalații specifice producerii sodei; Mașini, utilaje și instalații specifice producerii carbidului oxigenului, pulberilor și explozibililor. Alte mașini, utilaje și instalații specifice pentru industria chimică anorganică.|8-12
2.1.6.2.2.|Mașini, utilaje și instalații specifice producerii clorului și a compușilor săi.|4-8
2.1.6.3.|Mașini, utilaje și instalații specifice industriei chimice organice (exclusiv prelucrarea țițeiului).|
2.1.6.3.1.|Mașini, utilaje și instalații specifice producerii fibrelor și firelor artificiale. Vase pentru coagularea latexului, prese de turnare, mașini automate de ambalare în baloturi și mașini de turnat epruvete de cauciuc. Mașini, utilaje și instalații specializate pentru confecționat produse din cauciuc (anvelope, garnituri, tuburi, etc.)|9-15
2.1.6.3.2.|Granulatoare pentru negru de fum. Reactoare pentru dehidrogenarea butanului; polimerizatoare. Mașini, utilaje și instalații specializate pentru confecționat produse din mase plastice. Mașini, utilaje și instalații specializate pentru producerea medicamentelor.|8-12
2.1.6.3.3.|Instalații pentru preparat soluții, în circuit închis, în vase de sticlă și vase de cuart pentru filtrare.|2-4
2.1.6.3.4.|Alte mașini, utilaje și instalații pentru industria chimică organică.|9-15
2.1.6.4.|Mașini, utilaje și instalații specifice prelucrării țițeiului, în afară de:|9-15
2.1.6.4.1.|- coloane de distilare fracționată și generatoare de gaz inert; - vase pentru propan și butan;|12-18
2.1.6.4.2.|- agregate pentru tăierea hidraulică a cocsului, regeneratoare de catalizator și umectoare: coloane pentru recuperarea SO(2) din rafinat și coloane de solventare cu bioxid de sulf și cuptoare pentru arderea gudroanelor;|7-11
2.1.6.5.|Mașini, utilaje și instalații specifice producției de săpun,  detergenți și lumânări.|8-12
2.1.6.6.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.6.|8-12
2.1.7.|Mașini, utilaje și instalații pentru producerea materialelor  de construcții și refractare.|
2.1.7.1.|Mașini, utilaje și instalații pentru fasonarea produselor, în afară de:|9-15
2.1.7.1.1.|- mașini de fasonat prin presare; - mașini de fasonat prin laminare; - vibroprese și traverse pentru blocuri din beton.|8-12
2.1.7.2.|Mașini, utilaje și instalații pentru uscarea produselor. Mașini, utilaje și instalații pentru maturizarea produselor|12-18
2.1.7.3.|Mașini, utilaje și instalații pentru arderea produselor, în afară de:|16-24
2.1.7.3.1.|- cuptoare electrice pentru elaborarea electro- corindonului și a carburii de siliciu precum și pentru ars email.|11-17
2.1.7.4.|Mașini, utilaje și instalații pentru deservirea uscătoriilor  și cuptoarelor. Mașini și instalații specifice pentru producerea cimentului,  varului și a ipsosului. Mașini și instalații specifice fabricării produselor din azbociment. Mașini, utilaje și instalații specifice producerii materialelor hidroizolatoare (carton asfaltat, etc). Mașini și instalații specifice producerii materialelor termoizolatoare (a vatei minerale, a vatei și pâslei din fibre de sticlă). Mașini și instalații specifice producerii garniturilor tehnice de etanșare. Mașini și instalații specifice producerii rondelelor, plăcilor izolatoare și dopurilor din plută. Mașini și instalații specifice pentru extragerea și prelucrarea marmurei și a pietrei naturale și artificiale de construcții. Mașini, utilaje și instalații specifice pentru ambalarea produselor. Mașini și instalații specifice pentru prefabricate din beton, cărămizi silico-calcare și țigle din ciment, în afară de:|12-18
2.1.7.4.1.|- tipare metalice și de beton, încălzitoare; - casete verticale.|4-6
2.1.7.4.2.|- tipare pentru tuburi din beton.|8-12
2.1.7.5.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.7.|12-18
2.1.8.|Mașini, utilaje și instalații pentru silvicultură, exploatarea și prelucrarea lemnului|
2.1.8.1.|Mașini de cojit, despicat, tocat și mărunțit. Strunguri și mașini de copiat, Ferăstraie, în afară de:|8-12
2.1.8.1.1.|- ferăstraie cu lanț portabile|2-3
2.1.8.2.|Mașini de rindeluit, de frezat, de găurit și dăltuit, în afară de:|8-12
2.1.8.2.1.|- mașini portabile de rindeluit, de frezat, de găurit și dăltuit.|2-4
2.1.8.3.|Mașini de șlefuit, de lustruit, mașini combinate, mașini agregat, în afară de:|8-12
2.1.8.3.1.|- mașini portabile de șlefuit și de lustruit.|2-4
2.1.8.4.|Mașini-unelte pentru prelucrarea lemnului prin tăiere și mașini de curbat; agregate de înnădire și asamblare; prese specifice pentru industria lemnului; mașini, utilaje și instalații pentru preparat și aplicat adezivi și lacuri, în afară de:|8-12
2.1.8.4.1.|- mașini portabile de tăiat și de îmbinat prin agrafe, cuie,  clame.|2-4
2.1.8.5.|Mașini, utilaje și instalații pentru uscare, aburire și tratare termică, în afară de:|9-15
2.1.8.5.1.|- mașini și instalații de aburire și fierbere a lemnului.|4-6
2.1.8.6.|Mașini, utilaje și instalații specifice liniilor de fabricație pentru prelucrarea lemnului.|9-15
2.1.8.7.|Mașini, utilaje și instalații pentru silvicultură.|5-9
2.1.8.8.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.8.|8-12
2.1.9.|Mașini, utilaje și instalații pentru industria celulozei și hârtiei|
2.1.9.1.|Mașini, utilaje și instalații pentru fabricarea celulozei, în afară de:|10-16
2.1.9.1.1.|- putini din lemn pentru spălare.|5-9
2.1.9.2.|Mașini și instalații pentru fabricarea hârtiei, cartonului și mucavalei. Mașini și utilaje pentru impregnarea și înnobilarea hârtiei și cartoanelor. Utilaje pentru exploatarea și balotarea stufului, în afară de:|8-12
2.1.9.2.1.|- tractoare speciale pentru recoltat stuf; - recoltatoare de stuf.|5-9
2.1.9.3.|Mașini și utilaje pentru confecții din hârtie și prelucrarea  hârtiei.|10-16
2.1.9.4.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.9.|8-12
2.1.10.|Mașini, utilaje și instalații pentru producerea sticlei, porțelanului și faianței|
2.1.10.1.|Cuptoare pentru producerea masei de sticlă și tratarea produselor din sticlă; mașini de format și de prelucrat sticlă, în afară de:|11-17
2.1.10.1.1.|- cuptoare de topire cu oale; de curbat și de securizat geamuri; - mașini de confecționat aparatură de sticlă pentru laborator, mașini de gradat, mașini de spart geamuri armate, de îndreptat tuburi din sticlă, de închis termometre, de spălat cioburi, piese de rondele pentru mașinile de tras geam; - mașini de format materiale ceramice; - mașini și instalații de finisat și decorat produse din sticlă și ceramică fină.|9-15
2.1.10.2.|Mașini de ambalat butelii, de spălat și stors pânză de filtru instalații de dozarea barbotinei, etc,|11-17
2.1.10.3.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.10.|9-15
2.1.11.|Mașini, utilaje și instalații pentru industria textilă|
2.1.11.1.|Mașini pentru prelucrarea primară a fibrelor naturale. Mașini, utilaje și instalații pentru prelucrarea primară a fibrelor de lână și a părului. Mașini pentru prelucrarea preliminară a deșeurilor din fibre și a zdrențelor. Mașini și instalații din filaturile de bumbac.|8-14
2.1.11.2.|Mașini, utilaje și instalații din filaturile de mătase naturală. Mașini, utilaje și instalații din filaturile de fibre liberiene și din filaturile de lână. Mașini și utilaje pentru prepararea firelor. Mașini, utilaje și instalații pentru produs materiale textile nețesute și electropluș. Mașini pentru pregătire în vederea tratamentelor și finisării. Mașini, aparate și instalații de vopsit și de imprimat materiale textile.|8-12
2.1.11.3.|Mașini și instalații de albit. Mașini și instalații pentru tratamente umede fară folosire de coloranți. Mașini de stors și de uscat materiale textile. Mașini și instalații pentru apretura și finisarea specială a materialelor textile; de controlat, ajustat și împachetat.  Mașini de țesut.|8-14
2.1.11.4.|Mașini de tricotat; de împletit, croșetat și înnodat.|6-10
2.1.11.5.|Alte mașini, utilaje și instalații neregăsite în cadrul clasei 2.1.11.|8-12
2.1.12.|Mașini, utilaje și instalații pentru industria confecțiilor|8-12
2.1.13.|Mașini, utilaje și instalații pentru industria pielăriei, blănăriei și încălțămintei|
2.1.13.1.|Mașini, utilaje și instalații pentru produs talpă artificială. Mașini, utilaje și instalații pentru confecții de încălțăminte din piele și din înlocuitori din piele. Mașini, utilaje și instalații pentru confecționarea încălțămintei din cauciuc; pentru confecții de: mănuși, blănărie, marochinărie și articole tehnice din piele.|8-12
